Hanzi,Traditional,Pinyin,Pinyin 2,Meaning,Audio
知,,zhī,zhì,"know, perceive, comprehend", [sound:sapi5-ca8e9786-98e73e83-ab9fc187-726ab836-172bc363.mp3]
全,,quán,,"maintain, keep whole or intact", [sound:sapi5-cf1644d5-61be0b0f-b762d8e6-f6f1f821-e6fd632c.mp3]
三,,sān,sàn,three, [sound:sapi5-8eb8fc57-0c004f58-fd9851f1-8b832e13-06420c50.mp3]
又,,yòu,,"and, also, again, in addition", [sound:sapi5-fe343470-134c7dc7-fd180eaa-bcbfb50d-7b32e867.mp3]
关,關,guān,wān,frontier pass; close; relation, [sound:sapi5-a598628b-fa980ebb-636ee984-ac3cc5c1-f0917183.mp3]
点,點,diǎn,,"dot, speck, spot; point, degree", [sound:sapi5-0da65523-2bdc98c9-30b01973-3f53ba49-b1f92a46.mp3]
正,,zhèng,zhēng,"right, proper, correct", [sound:sapi5-a413128b-659ab72c-30d9405f-3847aac2-696b9a98.mp3]
业,業,yè,,"profession, business; GB radical 111", [sound:sapi5-c5235829-d5e9b238-1268c0a8-9e122be6-1feb7869.mp3]
外,,wài,,"out, outside, external; foreign", [sound:sapi5-196a09bf-324bc2b2-b3f02007-d0fcd25e-a1adcbef.mp3]
将,將,jiāng,"jiàng, qiāng","will, going to, future; general", [sound:sapi5-44b5c019-552dc30e-172abe8d-3188582d-1ef28b8d.mp3]
两,両 兩,liǎng,liàng,"two, both, pair, couple; ounce", [sound:sapi5-c1f8adac-dbaa8b88-52f2a767-2b521a59-4284a667.mp3]
高,,gāo,gào,"high, tall; lofty, elevated", [sound:sapi5-ee2a3204-0ee53c46-b84eb8f9-138b68d7-1a6e655e.mp3]
间,間,jiān,jiàn,"midpoint, space; place, locality", [sound:sapi5-83d4743b-a694b512-b7bb57be-0d7ffd9d-7373df90.mp3]
由,,yóu,yāo,"cause, reason; from", [sound:sapi5-5c6a31f7-077e8781-6f1e7613-b795f516-ea057b68.mp3]
问,問,wèn,,"ask about, inquire after", [sound:sapi5-fdbcf40d-bf3092c1-50d2240e-c7f406cb-0412d69e.mp3]
很,,hěn,,"very, quite, much", [sound:sapi5-0bb5d1d5-e59558ec-c8130978-cdb4a04c-7ee62796.mp3]
最,,zuì,,"most, extremely, exceedingly", [sound:sapi5-bd28121c-4d982795-8fef2923-1e787426-930f3e33.mp3]
重,,zhòng,"chóng, tóng","heavy, weighty; double", [sound:sapi5-c13b56f7-170ad13a-0055ed55-25841cfd-218d3617.mp3]
并,并 併 並,bìng,bīng,"combine, annex; also, what's more", [sound:sapi5-7c354a63-684f4071-3eb5aabb-786b1a00-2fd2fd54.mp3]
物,,wù,,"thing, substance, creature", [sound:sapi5-e4453948-a6a473be-dc5f64a1-532f9be2-8cd38cc2.mp3]
手,,shǒu,,hand, [sound:sapi5-7dfbdd59-7780ad57-edce47d1-bcb68299-fd4a40f8.mp3]
应,應,yìng,yīng,"should, ought to, must", [sound:sapi5-97cd492d-7139135f-e9d437c7-693095fd-950dcfe1.mp3]
战,戰,zhàn,,"war, fighting, battle", [sound:sapi5-c6c77cbe-3d58f5cb-08390bb3-2b9e5678-d814ded2.mp3]
向,嚮 向,xiàng,,"toward, direction, trend", [sound:sapi5-cfbb3e26-764dcb0b-22c26abc-6e93e672-0fe24ca5.mp3]
头,頭,tóu,tou,"head; top; chief, first; boss", [sound:sapi5-cd133d11-2ea08342-d684d00b-720416fb-f8396e06.mp3]
文,,wén,wèn,"literature, culture, writing", [sound:sapi5-987cf5a0-2ae86176-a89d5f38-0ea8c372-fd4d7812.mp3]
体,体 體,tǐ,"bèn, tī","body; group, class, body, unit; inferior", [sound:sapi5-d42729e4-b0a4e0ba-90d4ffcd-70ce4020-c12a5e5a.mp3]
政,,zhèng,zhēng,"government, political affairs", [sound:sapi5-7cbcf1e1-6a5f23bf-eff6c907-654aaaf7-d9d40676.mp3]
美,,měi,,"beautiful, pretty; pleasing", [sound:sapi5-4b2ad17b-dab5bcb4-1e80b23e-7055e8ae-01cbe031.mp3]
相,,xiāng,xiàng,"mutual, reciprocal, each other", [sound:sapi5-ddafb1c3-77e48760-077f5d28-c9ea67df-0a7dde4b.mp3]
见,見,jiàn,xiàn,"see, observe, behold; perceive", [sound:sapi5-0fa33589-6a708af2-8e5d259a-ffdf3b7f-39651f80.mp3]
被,,bèi,"pī, bì, pì",passive indicator 'by'; bedding, [sound:sapi5-322a13d8-d9355c0f-b712529b-bc8850da-5716ea9a.mp3]
利,,lì,,"gains, advantage, profit, merit", [sound:sapi5-c2ce464b-9bd24c63-27c5b663-91630a06-f7587b49.mp3]
什,甚,shí,shén,"file of ten soldiers; mixed, miscellaneous", [sound:sapi5-0c0a3726-8a39c863-5e726234-facf9c7d-d7f314ec.mp3]
二,,èr,,two; twice, [sound:sapi5-040167de-ef42e15d-0d3269b7-6db844dc-480067ac.mp3]
等,,děng,,"rank, grade; wait; equal; 'etc.'", [sound:sapi5-43159af0-5e0cb198-0fb5770e-f82a8741-15f262b8.mp3]
产,產,chǎn,,"give birth, bring forth, produce", [sound:sapi5-2cdc0acd-1fabe8e0-de936223-01d3109c-3a8850fb.mp3]
或,,huò,yù,"or, either, else; perhaps, maybe", [sound:sapi5-5debb9e0-e0fc6bfe-97e26ed1-ad7199f3-3a0ad035.mp3]
新,,xīn,,"new, recent, fresh, modern", [sound:sapi5-65693986-a8b5153c-3f07815d-9d57fe4b-a5b57906.mp3]
己,,jǐ,,"self, oneself; personal, private; 6th heavenly stem", [sound:sapi5-71481a17-2ab66fb6-824c4783-a080c8aa-f52d1ba0.mp3]
制,製 制,zhì,,system; establish; overpower, [sound:sapi5-044150bc-58b152e6-abd097e3-b3961724-121280d3.mp3]
身,,shēn,"yuán, juān","body; trunk, hull; rad. no. 158", [sound:sapi5-b7ccc7de-afc230b2-023d75c9-44a18c31-f6028020.mp3]
果,,guǒ,"kè, luǒ, wǒ",fruit; result, [sound:sapi5-4343ecaf-a2656bb9-2b9a7c55-a612ce4c-5222f943.mp3]
加,,jiā,,"add to, increase, augment", [sound:sapi5-9e23e2bb-ab5b4086-d28975e1-4b3ec5a5-96d27297.mp3]
西,,xī,,"west(ern); westward, occident", [sound:sapi5-2ded7dbe-cd6610ba-9db21cd5-b4df6fe4-8d7729f6.mp3]
斯,,sī,,"this, thus, such; to lop off; emphatic particle", [sound:sapi5-604b2f07-57696eb1-13bf88df-90ee9c78-740d84e4.mp3]
月,,yuè,,moon; month; KangXi radical 74, [sound:sapi5-6097bafc-cd8ecc28-71249839-7b2e7d4d-de897240.mp3]
